"filename", "language", "Docker", "JSON with Comments", "TypeScript", "YAML", "JavaScript", "Markdown", "Vue", "XML", "JSON", "PowerShell", "HTML", "comment", "blank", "total"
"c:\Users\TorbjörnVading\Desktop\repos\itemper-web\src\models\sensor-data.ts", "TypeScript", 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 17, 7, 65
"c:\Users\TorbjörnVading\Desktop\repos\itemper-web\src\models\sensor.ts", "TypeScript", 0, 0, 99, 0, 0, 0, 0, 0, 0, 0, 0, 16, 3, 118
"c:\Users\TorbjörnVading\Desktop\repos\itemper-web\src\plugins\vuetify.ts", "TypeScript", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Users\TorbjörnVading\Desktop\repos\itemper-web\src\services\admin-service.ts", "TypeScript", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 26
"c:\Users\TorbjörnVading\Desktop\repos\itemper-web\src\services\api-service.ts", "TypeScript", 0, 0, 141, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 151
"c:\Users\TorbjörnVading\Desktop\repos\itemper-web\src\services\device-service.ts", "TypeScript", 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 48
"c:\Users\TorbjörnVading\Desktop\repos\itemper-web\src\services\event-service.ts", "TypeScript", 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 30
"c:\Users\TorbjörnVading\Desktop\repos\itemper-web\src\services\itemper.ts", "TypeScript", 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 25
"c:\Users\TorbjörnVading\Desktop\repos\itemper-web\src\services\logger.ts", "TypeScript", 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 48
"c:\Users\TorbjörnVading\Desktop\repos\itemper-web\src\services\monitor.ts", "TypeScript", 0, 0, 103, 0, 0, 0, 0, 0, 0, 0, 0, 1, 17, 121
"c:\Users\TorbjörnVading\Desktop\repos\itemper-web\src\services\sensor-service.ts", "TypeScript", 0, 0, 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 73
"c:\Users\TorbjörnVading\Desktop\repos\itemper-web\src\services\storage-service.ts", "TypeScript", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 35
"c:\Users\TorbjörnVading\Desktop\repos\itemper-web\src\services\websocket-service.ts", "TypeScript", 0, 0, 104, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 110
"c:\Users\TorbjörnVading\Desktop\repos\itemper-web\src\store\admin.ts", "TypeScript", 0, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 65
"c:\Users\TorbjörnVading\Desktop\repos\itemper-web\src\store\base-store.ts", "TypeScript", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 23
"c:\Users\TorbjörnVading\Desktop\repos\itemper-web\src\store\devices.ts", "TypeScript", 0, 0, 113, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 117
"c:\Users\TorbjörnVading\Desktop\repos\itemper-web\src\store\locations.ts", "TypeScript", 0, 0, 191, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 199
"c:\Users\TorbjörnVading\Desktop\repos\itemper-web\src\store\messages.ts", "TypeScript", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\TorbjörnVading\Desktop\repos\itemper-web\src\store\notice.ts", "TypeScript", 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 30
"c:\Users\TorbjörnVading\Desktop\repos\itemper-web\src\store\sensors.ts", "TypeScript", 0, 0, 175, 0, 0, 0, 0, 0, 0, 0, 0, 19, 9, 203
"c:\Users\TorbjörnVading\Desktop\repos\itemper-web\src\store\settings.ts", "TypeScript", 0, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 74
"c:\Users\TorbjörnVading\Desktop\repos\itemper-web\src\store\store.ts", "TypeScript", 0, 0, 84, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 93
"c:\Users\TorbjörnVading\Desktop\repos\itemper-web\src\store\user.ts", "TypeScript", 0, 0, 77, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 81
"c:\Users\TorbjörnVading\Desktop\repos\itemper-web\src\types\kalmanjs.d.ts", "TypeScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\TorbjörnVading\Desktop\repos\itemper-web\src\types\shims-tsx.d.ts", "TypeScript", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 14
"c:\Users\TorbjörnVading\Desktop\repos\itemper-web\src\types\shims-vue.d.ts", "TypeScript", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\TorbjörnVading\Desktop\repos\itemper-web\src\types\shims-web-bluetooth.d.ts", "TypeScript", 0, 0, 149, 0, 0, 0, 0, 0, 0, 0, 0, 6, 23, 178
"c:\Users\TorbjörnVading\Desktop\repos\itemper-web\src\types\store-shims..d.ts", "TypeScript", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"c:\Users\TorbjörnVading\Desktop\repos\itemper-web\src\types\vue-highcharts.d.ts", "TypeScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\TorbjörnVading\Desktop\repos\itemper-web\src\vue__web-component-wrapper.d.ts", "TypeScript", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
"c:\Users\TorbjörnVading\Desktop\repos\itemper-web\tests\unit\home.spec.ts", "TypeScript", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13
"c:\Users\TorbjörnVading\Desktop\repos\itemper-web\tsconfig.json", "JSON with Comments", 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 1, 42
"c:\Users\TorbjörnVading\Desktop\repos\itemper-web\tslint.json", "JSON with Comments", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 20
"c:\Users\TorbjörnVading\Desktop\repos\itemper-web\webpack.config.js", "JavaScript", 0, 0, 0, 0, 84, 0, 0, 0, 0, 0, 0, 5, 2, 91
"Total", "-", 7, 60, 3160, 39, 5929, 523, 3905, 1, 28948, 4, 38, 1047, 1984, 45645
